,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj.IHW,log2fc.shrunk
cysC,581.495986453851,-0.83808081989064,0.108837326831829,-7.70030691019825,1.35739809586744e-14,5.67869730875534e-13,5.02272355832863e-13,-0.809163220596407
hypB,359.945307306298,-1.03716185535148,0.13524133028198,-7.66897111400029,1.73381473876194e-14,7.17460077224643e-13,5.29567327817506e-13,-0.986791439467528
cysJ,723.614108729034,-0.791024691965592,0.103542642683944,-7.63960308005792,2.17892403061236e-14,8.91953095111963e-13,6.58363067314057e-13,-0.765846874418548
nrdI,319.690719841646,-1.09071249477847,0.142957934425014,-7.62960446487552,2.35475054364669e-14,9.5367397017691e-13,8.44499404060747e-13,-1.03313979381475
hyuA,596.856159576393,-0.822117186105942,0.107778089816962,-7.6278693332024,2.38665281118114e-14,9.56419710754379e-13,8.45577466522398e-13,-0.79412868471713
gabD,465.221270380135,-0.902207194175089,0.119438567840484,-7.55373419564134,4.22952924058985e-14,1.67727268947141e-12,1.49122298325297e-12,-0.865803075800854
guaD,471.672246378572,-0.888783824997197,0.118482504415892,-7.50139296412428,6.31431797110377e-14,2.47820706350433e-12,2.20331455556112e-12,-0.853297003865589
ygbK,479.311327741918,-0.868356048175988,0.117739139161395,-7.37525392457353,1.64032110010782e-13,6.37214533480661e-12,5.64267570062168e-12,-0.833848299879105
yfjX,310.098438345493,-1.12662815580897,0.152967517901327,-7.36514634783914,1.76952633483602e-13,6.8046330875967e-12,6.01602449439915e-12,-1.06000115345518
yfjJ,216.562586747458,-1.28623769391474,0.175733584171046,-7.31924805370619,2.49364280295331e-13,9.49329815084326e-12,8.39309239350603e-12,-1.1944553357671
flgG,56.3128839122182,-2.69668920094746,0.37048586021825,-7.27879115105463,3.36824647553557e-13,1.26959547845187e-11,1.12425489053868e-11,-2.5550760052355
alaE,351.057690226255,-1.01093600129177,0.139554297061924,-7.2440334878631,4.3553380649412e-13,1.62556588365011e-11,1.19985293749851e-11,-0.958210095831259
metI,95.8543493589819,-2.00027322510973,0.276478351612007,-7.23482765810465,4.66120673427917e-13,1.72283631431076e-11,1.27164960420626e-11,-1.81127217465839
yqaB,387.690230427612,-0.936379829084816,0.12982288448254,-7.21274860604989,5.48335934718622e-13,2.0072258687248e-11,1.48156151592243e-11,-0.892589094690874
